,Model,RMSE,NRMSE,MAPE,Weeks ahead,Location
840,GT-FluFNP,76.0347186487857,0.6554717124895317,35.06666385728722,1,MS
841,GT-FluFNP,14.032210089647318,0.31182689088105153,80.54346666666667,1,MT
842,GT-FluFNP,94.79853237260585,0.36460973989463785,40.51916637310865,1,NC
843,GT-FluFNP,7.832177219649719,0.30123758537114315,89.90285714285714,1,ND
844,GT-FluFNP,15.550517033205036,0.34556704518233416,50.93330251620283,1,NE
845,GT-FluFNP,1.2613881242504228,0.10511567702086856,96120034.95419046,1,NH
846,GT-FluFNP,152.9147071409418,0.3028014002790926,70.99021482562047,1,NJ
847,GT-FluFNP,41.668354659141514,0.3109578705906083,52.73998780132768,1,NM
848,GT-FluFNP,64.67994202223747,0.26949975842598944,142.63635338903728,1,NV
849,GT-FluFNP,225.69337885724516,0.30052380673401485,69.52567344978758,1,NY
850,GT-FluFNP,170.5646571831339,0.3212140436593859,56.81051706506231,1,OH
851,GT-FluFNP,131.87368425883918,0.3507278836671254,58.52579119184792,1,OK
852,GT-FluFNP,139.5632531865032,0.35602870710842655,194.1500019954579,1,OR
853,GT-FluFNP,201.4593292453839,0.3182611836419967,49.00157125317024,1,PA
854,GT-FluFNP,6.1482924458747075,0.3842682778671692,68760037.24249998,1,RI
855,GT-FluFNP,76.22979916017096,0.8024189385281153,31.31482723642753,1,SC
856,GT-FluFNP,19.60240342407022,0.36300747081611523,53.423943833943845,1,SD
857,GT-FluFNP,134.21103859221117,0.3355275964805279,49.521299141706535,1,TN
858,GT-FluFNP,390.84756918778453,0.3298291723103666,31.78696944754052,1,TX
859,GT-FluFNP,4959.132879215882,0.3218753085750556,49.70702336740999,1,US
860,GT-FluFNP,8.7549323241245,0.3647888468385208,52.21928616211374,1,UT
861,GT-FluFNP,122.33779522289912,0.49131644667830965,40.14910585736955,1,VA
862,GT-FluFNP,6.0966138142414765,0.40644092094943174,18440022.110666666,1,VT
863,GT-FluFNP,185.76916735561906,0.345938859135231,95.7900243090243,1,WA
864,GT-FluFNP,82.47300831181073,0.34221165274610255,86.5045822663437,1,WI
865,GT-FluFNP,50.451359743816624,0.3528067114952211,47.65000099705363,1,WV
866,GT-FluFNP,18.202382261671133,0.43339005384931273,91.28821785779232,1,WY
867,GT-FluFNP,22.58621980323401,0.4517243960646801,62.13294270833334,2,AK
868,GT-FluFNP,146.54420843213148,1.0936134957621753,32.21423721002517,2,AL
869,GT-FluFNP,153.2119438881969,0.5006926270856108,47.55932803714536,2,AR
870,GT-FluFNP,230.4193998451519,0.4364003784946059,68.67003586095205,2,AZ
871,GT-FluFNP,1197.4673805369398,0.5128339959472975,62.152586881422955,2,CA
872,GT-FluFNP,20.795015027645448,0.1663601202211636,77.47305418890103,2,CO
873,GT-FluFNP,61.65955765329492,0.39025036489427156,61.69212486727646,2,CT
874,GT-FluFNP,30.483632083464066,0.870960916670402,56.825820707070704,2,DC
875,GT-FluFNP,20.70969579689668,0.49308799516420665,71.17304799170955,2,DE
876,GT-FluFNP,139.83175810594673,0.28022396414017386,37.10112212685783,2,FL
877,GT-FluFNP,83.04667813946564,1.4318392782666487,29.664061176511215,2,GA
878,GT-FluFNP,54.8918429732506,0.44627514612398855,50.20913391569353,2,IA
879,GT-FluFNP,74.51901686817935,0.5285036657317684,76.0584485407066,2,ID
880,GT-FluFNP,373.8290742103936,0.5170526614251642,56.20553268905189,2,IL
881,GT-FluFNP,179.22316751748363,0.4923713393337463,38.21304170768087,2,IN
882,GT-FluFNP,70.09217128182006,0.4704172569249668,47.34214311814526,2,KS
883,GT-FluFNP,224.45803505332574,0.48374576520113305,58.736591097874935,2,KY
884,GT-FluFNP,63.16827724419908,0.8653188663588915,28.25206183159603,2,LA
885,GT-FluFNP,68.35172912955458,0.35974594278712935,94.04049121063703,2,MA
886,GT-FluFNP,117.99157575861084,0.7065363817880889,47.16344089870743,2,MD
887,GT-FluFNP,11.022097123506034,0.3555515201130979,86.47478991596638,2,ME
888,GT-FluFNP,79.8908470977746,0.31453089408572676,72.82253705040583,2,MI
889,GT-FluFNP,146.7308960307951,0.4940434209791081,65.98340506017826,2,MN
890,GT-FluFNP,212.8920617942341,0.4463145949564657,57.18407274287184,2,MO
891,GT-FluFNP,121.87523907668859,3.207243133597068,40.498611015949095,2,MS
892,GT-FluFNP,16.877003584759944,0.3750445241057765,80.15666666666667,2,MT
893,GT-FluFNP,123.7393391367515,0.6444757246705808,34.954910799173064,2,NC
894,GT-FluFNP,10.255415642478855,0.4458876366295154,61.85595238095238,2,ND
895,GT-FluFNP,14.640468742495917,0.36601171856239795,54.110618010547725,2,NE
896,GT-FluFNP,2.955139590611584,0.3283488434012871,90.81696428571429,2,NH
897,GT-FluFNP,211.39822503985224,0.5311513191956085,55.36938371425097,2,NJ
898,GT-FluFNP,64.94266798492343,0.6983082579024026,45.25279158156926,2,NM
899,GT-FluFNP,83.03949587395145,0.3757443252214998,80.44649003013899,2,NV
900,GT-FluFNP,264.6816316822911,0.4059534228255999,56.54495188688053,2,NY
